role,name,team
student,Masahiro21,CS2113-W15-1
student,leonghuenweng,CS2113-W15-2
student,adenteo,CS2113-W15-2
student,jinxuan-owyong,CS2113-W15-2
student,kaceycsn,CS2113-W15-2
student,nghochi123,CS2113-W15-2
student,pinyoko573,CS2113-W15-3
student,SaiChaitanya13,CS2113-W15-3
student,tzixi,CS2113-W15-3
student,chongyongrui,CS2113-W15-3
student,stephenkyang,CS2113-W15-3
student,Zeno-Zr,CS2113-W15-4
student,darrenangwx,CS2113-W15-4
student,Stella1585,CS2113-W15-4
student,kristianachwan,CS2113-W15-4
student,douph810975,CS2113-W15-4
student,azriellee,CS2113T-T09-1
student,BenjaminPoh,CS2113T-T09-1
student,ChongQiRong,CS2113T-T09-1
student,KN-CY,CS2113T-T09-1
student,lil1n,CS2113T-T09-1
student,sansders,CS2113T-T09-2
student,NicholasChungJunJie,CS2113T-T09-2
student,nigelhao,CS2113T-T09-2
student,natashatanyt,CS2113T-T09-2
student,yuanners,CS2113T-T09-2
student,aaronxujiachen,CS2113T-T09-3
student,Jjzeng123,CS2113T-T09-3
student,TJW0911,CS2113T-T09-3
student,ngyida,CS2113T-T09-3
student,jingyaaa,CS2113T-T09-3
student,EthanYidong,CS2113T-T09-3
student,chokyao,CS2113T-T09-4
student,Thiolk,CS2113T-T09-4
student,geraldkoh4,CS2113T-T09-4
student,denzelcjy,CS2113T-T09-4
student,saintzaw,CS2113T-T09-4
student,anthea-pr0g,CS2113T-T09-4
students,kkangs0226,dev-team
students,chunweii,dev-team
students,vigneshsankariyer1234567890,dev-team
students,cheehongw,dev-team
students,Eclipse-Dominator,dev-team
students,Echomo-Xinyu,dev-team
student,okkhoy,teaching-team
student,damithc,teaching-team
